class_id,rank,gender,caste,region,seat_category,branch_code,branch,college_code,college,students_per_class,fee
,71654,F,BC_B,OU,BC_D_GIRLS_UR,PHD,PHARM - D (M.P.C. STREAM),AVHP,"AVHP  -  AVANTHI INST OF PHARMSCI, HAYATHNAGAR",10,75000
class_id,rank,gender,caste,region,seat_category,branch_code,branch,college_code,college,students_per_class,fee
1,72609,M,BC_E,OU,MUS_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
2,43546,M,OC,OU,MUS_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
1,38165,M,BC_B,OU,MUS_GEN_UR,MIN,MINING ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
2,71077,M,BC_D,OU,MUS_GEN_UR,MIN,MINING ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
3,76640,M,SC,OU,MUS_GEN_OU,MIN,MINING ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
4,72569,M,BC_D,OU,MUS_GEN_OU,MIN,MINING ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
5,49120,M,BC_B,OU,MUS_GEN_UR,MIN,MINING ENGINEERING,AIZA,"AIZA  -  AIZZA COLLEGE OF ENGG AND TECHNOLOGY, MANCHERIAL",21,40000
1,57637,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
2,20955,M,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
3,53686,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
4,69207,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
